ID_wyrobu;Opis_wyrobu;Kod FG;Flaga;Klient;Nazwa_wyrobu;Data_wprowadzenia;Indeks CMJ;Waga jednostki netto;ID_rodzaj_wyrobu;Ilosc_w_pudle
1320;6 Assorted Jam Tarts (RSPO-SG)- One Stop;FG120270;FA£SZ;One Stop;6 Assorted Jam Tarts (RSPO-SG)- One Stop;13.09.2023;22T00207;180;1;12
1331;"MIX Jaffa & Dreemy Cake Bars (RSPO-SG;RA-MB)- ALDI";FG220109;FA£SZ;ALDI;"MIX Jaffa & Dreemy Cake Bars (RSPO-SG;RA-MB)- ALDI";21.09.2023;22C08128;119.75;2;14
1324;Princess Tiara Cake 2023(RSPO-SG)-TESCO;FG090624;FA£SZ;TESCO;Princess Tiara Cake 2023(RSPO-SG)-TESCO;25.09.2023;22M00173;1112;8;2
1329;Standard Iced Bar 400g (RSPO-SG) 2023 - Cabico;CAB0050;FA£SZ;Cabico;Standard Iced Bar 400g (RSPO-SG) 2023 - Cabico;26.09.2023;22N00014;400;9;12
1321;Rose Bouquet 2023 (RSPO-SG)-TESCO;FG090625;FA£SZ;TESCO;Rose Bouquet 2023 (RSPO-SG)-TESCO;26.09.2023;22M00174;1055;8;2
1332;Ms Molly's Chocolate Celebration Cake - TESCO;FG090605;FA£SZ;TESCO;"Ms Molly's Chocolate Celebration Cake (RSPO-SG;RA-MB) 2023 - TESCO";28.09.2023;22M00166;934;8;6
1302;9 All Butter Mini mince pies 2023- Dunnes;FG020385;FA£SZ;Dunnes;9 All Butter Mini mince pies 2023- Dunnes;03.10.2023;22T50006;201;1;12
1295;2 Mini Mince Pies -TESCO;FG020382;FA£SZ;TESCO;2 Mini Mince Pies 2023 -TESCO;13.10.2023;22T60007;41.2;1;24
1322;5 Reindeer Mini Rolls (RSPO-SG)-Sainsbury;FG030295;FA£SZ;Sainsbury;5 Reindeer Mini Rolls (RSPO-SG) 2023-Sainsbury;13.10.2023;22C08045;125;2;12
1274;4 Christmas Cubes (RSPO-SG)2023- Waitrose;FG090617;FA£SZ;Waitrose;4 Christmas Cubes (RSPO-SG)2023- Waitrose;18.10.2023;22C00140;194.04;2;12
1287;"5 Reindeer Mini Rolls (RSPO-SG;RA-MB) 2023- ASDA";FG030288;FA£SZ;ASDA;"5 Reindeer Mini Rolls (RSPO-SG;RA-MB) 2023- ASDA";08.11.2023;22C08124;128;2;12
1344;"MIX Jaffa & Titan Cake Bars (RSPO-SG;RA-MB)- ALDI";FG220112;FA£SZ;ALDI;"MIX Jaffa & Titan Cake Bars (RSPO-SG;RA-MB)- ALDI";08.12.2023;22C08129;127.25;2;14
1343;"MIX Choceour & Dreemy Cake Bars (RSPO-SG;RA-MB)- ALDI";FG220113;FA£SZ;ALDI;"MIX Choceur & Dreemy Cake Bars (RSPO-SG;RA-MB)- ALDI";08.12.2023;22C08130;112;2;14
1345;"Biscotto Torcik czekoladowy 38g*40 (RSPO-MB; RA-MB)";---;FA£SZ;ALDI - Polska;"Biscotto Torcik czekoladowy (RSPO-MB; RA-MB)-ALDI";13.12.2023;22C04734;38;2;40
1346;Biscotto Torcik Jaffa 38g*40 (RSPO-MB, RA-MB);---;FA£SZ;ALDI - Polska;Biscotto Torcik Jaffa (RSPO-MB, RA-MB)-ALDI;13.12.2023;22C04735;38;2;40
1337;Beverly Manor 6 Strawberry Mini Rolls (RSPO-SG)- ALDI;FG030296;FA£SZ;ALDI;BM 6 Strawberry Mini Rolls (RSPO-SG)- ALDI;18.12.2023;22C08131;114;2;14
279;Mini roladki truskawkowe z kremem o smaku waniliowym z ciemn¹ dekoracj¹;HO167;FA£SZ;Hoppe;6 Strawberry Mini Rolls with dark deco stripes HO167 (RSPO-SG);;22C20038;150;2;12
328;Strawberry & Cream (Swiss Rolls) ROYAL;ROY001;FA£SZ;ROYAL Szwecja;Strawberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL Szwecja;;22R01202;300;3;6
326;Raspberry & Cream (Swiss Rolls) ROYAL-Szwecja;ROY002;FA£SZ;ROYAL Szwecja;Raspberry & Cream (Swiss Rolls)(RSPO-SG) ROYAL Szwecja;;22R01201;300;3;6
325;Cocoa & Cream (Swiss Rolls) ROYAL-Szwecja;ROY004;FA£SZ;ROYAL Szwecja;Cocoa & Cream (Swiss Rolls)(RSPO-SG) ROYAL Szwecja;;22R01204;300;3;6
1;Tesco Jumbo Choc/Van Swiss Roll;FG040037;PRAWDA;TESCO;-Jumbo Chocolate & Vanilla Swiss Roll (RSPO-MB);28.06.2008;22R00010;390;3;12
3;Tesco Standard Double Chocolate Swiss Roll;FG040123;PRAWDA;TESCO;-Chocolate Swiss Roll (Standard Double);28.06.2008;22R00012;195;3;24
88;Tesco 6 Lemon Curd Tarts;FG120093;PRAWDA;TESCO;-6 Lemon Curd Tarts (RSPO-MB) - TESCO;30.06.2008;22T00411;180;1;12
120;Morrisons 9 Mini Mince Pies;FG020106;PRAWDA;Morrisons;-9 Mini Mince Pies;08.08.2008;22T10103;180;1;12
9;Tesco 6 Value Apple pie;FG180019;PRAWDA;TESCO;-6 Everyday Value Apple Pies (RSPO-MB);24.08.2008;22T10111;282;1;12
140;Mini roladki czekoladowe z kremem o smaku waniliowym w czekoladzie mlecznej.;HO059;PRAWDA;HOPPE;-6 Choco Mini-Rolletjes HO059;18.11.2008;22C20010;156;2;12
237;Mini roladki czekoladowe z kremem o smaku waniliowym w czekoladzie mlecznej.  (HO134);HO134;PRAWDA;HOPPE;-6 Choco Mini-Rolletjes HO134 (RSPO-MB);18.11.2008;22C20021;150;2;12
144;Simple Value Chocolate Swiss roll;FG040139;PRAWDA;CO-OP;-Simple Value Chocolate Swiss Roll;09.02.2009;22R01015;88;3;18
2;Tesco Jumbo Straw/Van Swiss Roll;FG040038;PRAWDA;TESCO;-Jumbo Strawberry & Vanilla Swiss Roll (RSPO-MB);26.06.2009;22R00011;390;3;12
822;Tesco Jumbo Straw/Van Swiss Roll;FG040038;PRAWDA;TESCO;-Jumbo Strawberry & Vanilla Swiss Roll (RSPO-MB) - MRO¯ONE;26.06.2009;22R00011;390;3;12
161;Rolada z marmolad¹ morelow¹ (wys. 5,5-5,7cm, szerokoœæ 6,7-7cm, d³. 27cm);FG140786;PRAWDA;FRONHOFFS POLSKA S.A.;-Rolada biszkoptowa z nadzieniem morelowym(RSPO-SG) KAT;07.01.2010;22R00130;307;3;10
22;Co-op Raspberry & Vanila Midi Swiss;FG040120;PRAWDA;CO-OP;-The Co-operative Raspberry & Vanilla Swiss Roll;08.02.2010;22R01010;280;3;12
21;Co-Op Choc Midi SwissRoll;FG040121;PRAWDA;CO-OP;-The Co-operative Chocolate Swiss Roll;08.02.2010;22R01000;280;3;12
86;Sainsbury's Basic Raspberry & Vanila 6 Mini rolls *30;FG030107;PRAWDA;Sainsbury's;-6 Mini rolls with raspberry and vanilla flavoured filling;16.02.2010;22C10010;126;6;30
191;5 Chocolate Mini Rolls Weight Watchers;WWA04;PRAWDA;BAKE MARK;-5 Chocolate Mini Rolls Weight Watchers- Australia (RSPO-MB);26.02.2010;22C09015;115;2;6
187;Ciastka kruche z kawa³akami czekolady 140 g;Z00001;PRAWDA;¯abka Polska S.A.;-Ciastka kruche z kawa³kami czekolady - Pasja Smaku;24.03.2010;22K03502;140;4;8
