"ID_pola","ID_kremu","ID_surowca","Ilosc","Nazwa_kremu","Nr receptury","Data zatwierdzenia","wersja","ID_typskladnika"
15363,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15364,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15365,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15366,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,11,1
15367,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15368,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15369,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15370,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15371,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15372,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15373,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15374,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15375,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,12,1
15376,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15377,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15378,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15379,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15380,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15381,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15382,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15383,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15384,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,13,1
15385,54,243,50.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15386,54,11,0.50,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15387,54,43,7.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15388,54,34,0.30,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15389,54,7,0.25,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15390,54,71,0.40,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15391,54,49,42.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15392,54,12,5.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
15393,54,38,30.00,"krem o smaku waniliowym","236",6.9.2016 00:00:00,14,1
